"ID_ESCOLA","ID_REGIAO","ID_MUNICIPIO","IN_PUBLICA","ID_LOCALIZACAO","NIVEL_SOCIO_ECONOMICO","MEDIA_5EF_LP_2017","MEDIA_5EF_LP_2021","MEDIA_5EF_MT_2017","MEDIA_5EF_MT_2021","MEDIA_9EF_LP_2017","MEDIA_9EF_LP_2021","MEDIA_9EF_MT_2017","MEDIA_9EF_MT_2021","MEDIA_EM_LP_2017","MEDIA_EM_LP_2021","MEDIA_EM_MT_2017","MEDIA_EM_MT_2021"
61220041,5,6310582,1,1,"Grupo 4",215.48,NA,218.95,NA,239.25,NA,244.27,NA,301.95,NA,269.79,NA
61233563,5,6310582,1,1,"Grupo 4",209.67,NA,224.82,NA,275.76,NA,277.96,NA,NA,NA,NA,NA
61177532,5,6310582,1,1,"Grupo 3",217.57,NA,218.02,NA,249.8,NA,248.75,NA,NA,NA,NA,NA
61230312,5,6310582,1,1,"Grupo 4",214.18,NA,215.33,NA,272.62,NA,267.34,NA,NA,NA,NA,NA
61242936,5,6310582,1,1,"Grupo 3",197.54,NA,205.12,NA,270.44,NA,257.43,NA,272.69,NA,274.76,NA
61220180,5,6310582,1,1,"Grupo 4",NA,NA,NA,NA,251.5,NA,251.68,NA,286.85,NA,275.19,NA
61208337,5,6310582,1,1,"Grupo 4",214.97,NA,218.43,NA,249.1,NA,252.7,NA,NA,NA,NA,NA
61178545,5,6310582,1,1,"Grupo 4",207.39,NA,217.02,NA,254.23,NA,254.94,NA,NA,NA,NA,NA
61221342,5,6310582,1,1,"Grupo 3",198.93,NA,207.02,NA,255.71,NA,247.11,NA,246.76,NA,249.23,NA
61192517,5,6310582,1,1,"Grupo 3",192.57,NA,200.89,NA,234.02,NA,236.05,NA,269.64,NA,270.91,NA
61221343,5,6310582,1,1,"Grupo 4",249.23,NA,264.94,NA,273.9,NA,282.01,NA,310.15,NA,307.64,NA
61180806,5,6310582,1,1,"Grupo 4",217.52,NA,220.6,NA,266.85,NA,268.27,NA,NA,NA,NA,NA
61236278,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,266.27,NA,264.6,NA,273.72,NA,273.72,NA
61216657,5,6310582,1,1,"Grupo 3",222.07,NA,210.26,NA,257.19,NA,254.76,NA,NA,NA,NA,NA
61216658,5,6310582,1,1,"Grupo 3",199.73,NA,203.2,NA,241.68,NA,246.26,NA,215.4,NA,235.45,NA
61180982,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,268.63,NA,260.15,NA,267.44,NA,271.95,NA
61188188,5,6310582,1,1,"Grupo 3",197.19,NA,204.77,NA,258.11,NA,252,NA,272.71,NA,273.77,NA
61221345,5,6310582,1,1,"Grupo 4",NA,NA,NA,NA,NA,NA,NA,NA,319.44,NA,305.33,NA
61194364,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,232.71,NA,243.41,NA,262.55,NA,257.8,NA
61245787,5,6310582,1,1,"Grupo 3",216.94,NA,215.15,NA,255.94,NA,252.17,NA,250.03,NA,266.61,NA
61188189,5,6310582,1,1,"Grupo 3",229.5,NA,238.47,NA,262.3,NA,252.99,NA,261.24,NA,268.37,NA
61224648,5,6310582,1,1,"Grupo 3",219.33,NA,225.04,NA,252.54,NA,258.51,NA,255.66,NA,263.12,NA
61183064,5,6310582,1,1,"Grupo 4",201,NA,204.81,NA,249.95,NA,255.71,NA,NA,NA,NA,NA
61239237,5,6310582,1,1,"Grupo 4",NA,NA,NA,NA,NA,NA,NA,NA,288.92,NA,287.57,NA
61239236,5,6310582,1,1,"Grupo 4",222.71,NA,226.71,NA,243,NA,254.89,NA,259.87,NA,254.89,NA
61227149,5,6310582,1,1,"Grupo 4",236.3,NA,236.06,NA,273.43,NA,262.68,NA,257.96,NA,281.1,NA
61225945,5,6310582,1,1,"Grupo 5",NA,NA,NA,NA,NA,NA,NA,NA,296.62,NA,307.79,NA
61248875,5,6310582,1,1,"Grupo 3",217.49,NA,224.66,NA,255.6,NA,263.3,NA,282.79,NA,275.49,NA
61180983,5,6310582,1,1,"Grupo 3",196.55,NA,201.69,NA,244.7,NA,246.3,NA,252.68,NA,270.69,NA
61185986,5,6310582,1,1,"Grupo 4",237.2,NA,233.12,NA,271.28,NA,272.53,NA,286.06,NA,287.15,NA
61245871,5,6310582,1,1,"Grupo 4",215.68,NA,217.21,NA,236.51,NA,246,NA,246,NA,257.38,NA
61242203,5,6310582,1,1,"Grupo 3",209.79,NA,207.99,NA,242.71,NA,245.9,NA,269.2,NA,265.98,NA
61240390,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,NA,NA,NA,NA,279.18,NA,277.36,NA
61244404,5,6310582,1,1,"Grupo 4",NA,NA,NA,NA,289.48,NA,283.88,NA,316.07,NA,309.09,NA
61203291,5,6310582,1,1,"",197.87,NA,213.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
61232774,5,6310582,1,1,"Grupo 5",226.69,NA,243.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
61214422,5,6310582,1,1,"Grupo 4",214.66,NA,213.87,NA,247.67,NA,242.97,NA,242.53,NA,253.97,NA
61203047,5,6310582,1,1,"Grupo 5",246.87,NA,250.28,NA,291.91,NA,279.94,NA,NA,NA,NA,NA
61245788,5,6310582,1,1,"Grupo 4",216.02,NA,224.04,NA,261.95,NA,258.77,NA,240.14,NA,250.42,NA
61213068,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,271.63,NA,269.55,NA,289.75,NA,284.45,NA
61216659,5,6310582,1,1,"Grupo 4",203.01,NA,194.57,NA,260.62,NA,256.73,NA,NA,NA,NA,NA
61248876,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,250.21,NA,244.83,NA,269.31,NA,269.99,NA
61240392,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,NA,NA,NA,NA,285.6,NA,293.61,NA
61240391,5,6310582,1,1,"Grupo 4",215.32,NA,212.06,NA,265.61,NA,263.49,NA,267.15,NA,270.28,NA
61203903,5,6310582,1,1,"Grupo 4",206.13,NA,219.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
61229711,5,6310582,1,1,"Grupo 4",NA,NA,NA,NA,NA,NA,NA,NA,288.32,NA,270.61,NA
61210776,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,NA,NA,NA,NA,264.94,NA,275.16,NA
61227993,5,6310582,1,1,"Grupo 3",NA,NA,NA,NA,261.56,NA,271.47,NA,281.82,NA,283.07,NA
61196920,5,6310582,1,1,"Grupo 3",199.59,NA,210.3,NA,239.22,NA,246.19,NA,NA,NA,NA,NA
61216393,5,6310582,1,1,"Grupo 4",236.67,NA,239.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
61203904,5,6310582,1,1,"Grupo 3",210.75,NA,214.4,NA,266.55,NA,265.87,NA,NA,NA,NA,NA
61227150,5,6310582,1,1,"Grupo 4",216.96,NA,221.35,NA,260.38,NA,261.01,NA,NA,NA,NA,NA
61222562,5,6310582,1,1,"Grupo 5",248.35,NA,248.12,NA,274.51,NA,268.61,NA,NA,NA,NA,NA
61224649,5,6310582,1,1,"Grupo 4",222.21,NA,230.85,NA,275.87,NA,274.59,NA,NA,NA,NA,NA
61196921,5,6310582,1,1,"Grupo 4",220.61,NA,231.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
61180984,5,6310582,1,1,"Grupo 4",224,NA,246.81,NA,254.6,NA,243.4,NA,NA,NA,NA,NA
61215700,5,6310582,1,1,"Grupo 4",198.68,NA,208.38,NA,256.33,NA,251.44,NA,NA,NA,NA,NA
61214423,5,6310582,1,1,"Grupo 5",245.22,NA,236.44,NA,288.82,NA,286.89,NA,NA,NA,NA,NA
61227994,5,6310582,1,1,"Grupo 3",218.51,NA,217.11,NA,253.27,NA,235.86,NA,NA,NA,NA,NA
61179651,5,6310582,1,1,"Grupo 5",223.08,NA,224.02,NA,269.04,NA,265.08,NA,NA,NA,NA,NA
61238328,5,6310582,1,1,"Grupo 4",214.48,NA,215.43,NA,266.82,NA,270.04,NA,NA,NA,NA,NA
61189906,5,6310582,1,1,"Grupo 4",231.62,NA,241.67,NA,286.16,NA,281.85,NA,NA,NA,NA,NA
61177533,5,6310582,1,1,"Grupo 5",214.04,NA,231.14,NA,272.51,NA,266.18,NA,NA,NA,NA,NA
61206443,5,6310582,1,1,"Grupo 5",242.99,NA,257.83,NA,274.2,NA,278.2,NA,NA,NA,NA,NA
61222563,5,6310582,1,1,"Grupo 4",209.31,NA,216.4,NA,260.45,NA,258.43,NA,NA,NA,NA,NA
61236502,5,6310582,1,1,"Grupo 4",197.4,NA,213.05,NA,235.86,NA,244.27,NA,NA,NA,NA,NA
61248877,5,6310582,1,1,"Grupo 4",217.42,NA,215.74,NA,264.12,NA,249.62,NA,NA,NA,NA,NA
61188190,5,6310582,1,1,"Grupo 4",199.03,NA,206.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
61237686,5,6310582,1,1,"Grupo 4",213.92,NA,230.11,NA,235.58,NA,250.71,NA,NA,NA,NA,NA
61248878,5,6310582,1,1,"Grupo 4",209.31,NA,221.77,NA,263.68,NA,251.72,NA,NA,NA,NA,NA
61242204,5,6310582,1,1,"Grupo 4",238.69,NA,235,NA,289.17,NA,285.3,NA,NA,NA,NA,NA
61242205,5,6310582,1,1,"Grupo 4",222.63,NA,241.28,NA,266.66,NA,261.05,NA,NA,NA,NA,NA
61210777,5,6310582,1,1,"Grupo 4",224.8,NA,227.03,NA,277.07,NA,269.19,NA,NA,NA,NA,NA
61224650,5,6310582,1,1,"Grupo 5",232.47,NA,230.83,NA,276.51,NA,269.11,NA,NA,NA,NA,NA
61236503,5,6310582,1,1,"Grupo 4",212.62,NA,220.52,NA,274.56,NA,267.09,NA,NA,NA,NA,NA
61240393,5,6310582,1,1,"Grupo 4",212.25,NA,223.4,NA,250.76,NA,259.19,NA,NA,NA,NA,NA
61219720,5,6310582,1,1,"Grupo 5",212.83,NA,222.18,NA,272.6,NA,265.67,NA,NA,NA,NA,NA
61180985,5,6310582,1,1,"Grupo 4",225.92,NA,240.23,NA,272.16,NA,274.47,NA,NA,NA,NA,NA
61180807,5,6310582,1,1,"Grupo 4",205.08,NA,210.92,NA,247.81,NA,245.04,NA,NA,NA,NA,NA
61227995,5,6310582,1,1,"Grupo 5",228.68,NA,228.99,NA,284.13,NA,281.28,NA,NA,NA,NA,NA
61211900,5,6310582,1,1,"Grupo 4",221.12,NA,217.32,NA,256.17,NA,265.18,NA,NA,NA,NA,NA
61224651,5,6310582,1,1,"Grupo 4",213.91,NA,226.44,NA,259.93,NA,262.59,NA,NA,NA,NA,NA
61199184,5,6310582,1,2,"Grupo 3",217.29,NA,209.79,NA,253.53,NA,245.9,NA,NA,NA,NA,NA
61236280,5,6310582,1,1,"Grupo 4",216.74,NA,225.78,NA,273.77,NA,264.56,NA,NA,NA,NA,NA
61227996,5,6310582,1,1,"Grupo 5",250.53,NA,253.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
61194365,5,6310582,1,1,"Grupo 3",202.17,NA,205.78,NA,247.65,NA,243.1,NA,NA,NA,NA,NA
61179652,5,6310582,1,2,"",215.1,NA,210.63,NA,268.43,NA,253.53,NA,NA,NA,NA,NA
61192518,5,6310582,1,1,"Grupo 4",222.31,NA,224.81,NA,253.25,NA,251.01,NA,NA,NA,NA,NA
61227997,5,6310582,1,1,"Grupo 5",233.13,NA,249.9,NA,304.28,NA,288.96,NA,NA,NA,NA,NA
61227998,5,6310582,1,2,"Grupo 4",195.33,NA,205.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
61219721,5,6310582,1,1,"Grupo 5",230.3,NA,240.55,NA,298.51,NA,282.21,NA,NA,NA,NA,NA
61233565,5,6310582,1,1,"Grupo 3",193.36,NA,197.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
61219722,5,6310582,1,1,"Grupo 4",210.49,NA,210.35,NA,259.52,NA,282.36,NA,NA,NA,NA,NA
61206444,5,6310582,1,1,"Grupo 4",206.16,NA,214.84,NA,250.46,NA,245.91,NA,NA,NA,NA,NA
